,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0041200161,58,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,58,Missed Shot,Running Bank shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,42,1,0,20130420,DEN,GSW
1,Shot Chart Detail,0041200161,82,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,11,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-139,75,1,0,20130420,DEN,GSW
2,Shot Chart Detail,0041200161,140,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,225,131,1,0,20130420,DEN,GSW
3,Shot Chart Detail,0041200161,156,201939,Stephen Curry,1610612744,Golden State Warriors,2,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,237,107,1,0,20130420,DEN,GSW
4,Shot Chart Detail,0041200161,190,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-34,168,1,0,20130420,DEN,GSW
5,Shot Chart Detail,0041200161,194,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,55,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,44,1,0,20130420,DEN,GSW
6,Shot Chart Detail,0041200161,209,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,7,1,0,20130420,DEN,GSW
7,Shot Chart Detail,0041200161,243,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,18,274,1,0,20130420,DEN,GSW
8,Shot Chart Detail,0041200161,253,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,40,Missed Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,25,1,0,20130420,DEN,GSW
9,Shot Chart Detail,0041200161,275,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,58,1,1,20130420,DEN,GSW
10,Shot Chart Detail,0041200161,316,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,126,1,1,20130420,DEN,GSW
11,Shot Chart Detail,0041200161,345,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,138,88,1,1,20130420,DEN,GSW
12,Shot Chart Detail,0041200161,389,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,48,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,34,1,1,20130420,DEN,GSW
13,Shot Chart Detail,0041200161,436,201939,Stephen Curry,1610612744,Golden State Warriors,4,11,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,176,1,1,20130420,DEN,GSW
14,Shot Chart Detail,0041200161,455,201939,Stephen Curry,1610612744,Golden State Warriors,4,8,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,48,86,1,0,20130420,DEN,GSW
15,Shot Chart Detail,0041200161,472,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,19,1,1,20130420,DEN,GSW
16,Shot Chart Detail,0041200161,511,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,7,Missed Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,23,1,0,20130420,DEN,GSW
17,Shot Chart Detail,0041200161,522,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,160,194,1,0,20130420,DEN,GSW
18,Shot Chart Detail,0041200161,529,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,148,1,0,20130420,DEN,GSW
19,Shot Chart Detail,0041200161,558,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,14,1,1,20130420,DEN,GSW
20,Shot Chart Detail,0041200162,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,173,222,1,0,20130423,DEN,GSW
21,Shot Chart Detail,0041200162,60,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,0,20130423,DEN,GSW
22,Shot Chart Detail,0041200162,63,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,179,107,1,1,20130423,DEN,GSW
23,Shot Chart Detail,0041200162,76,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,36,261,1,0,20130423,DEN,GSW
