,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0041200161,21,202691,Klay Thompson,1610612744,Golden State Warriors,1,9,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,193,14,1,1,20130420,DEN,GSW
1,Shot Chart Detail,0041200161,33,202691,Klay Thompson,1610612744,Golden State Warriors,1,8,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,0,1,0,20130420,DEN,GSW
2,Shot Chart Detail,0041200161,63,202691,Klay Thompson,1610612744,Golden State Warriors,1,5,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,7,63,1,0,20130420,DEN,GSW
3,Shot Chart Detail,0041200161,143,202691,Klay Thompson,1610612744,Golden State Warriors,2,11,29,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-27,77,1,0,20130420,DEN,GSW
4,Shot Chart Detail,0041200161,152,202691,Klay Thompson,1610612744,Golden State Warriors,2,10,49,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,121,28,1,1,20130420,DEN,GSW
5,Shot Chart Detail,0041200161,160,202691,Klay Thompson,1610612744,Golden State Warriors,2,9,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-10,1,1,20130420,DEN,GSW
6,Shot Chart Detail,0041200161,174,202691,Klay Thompson,1610612744,Golden State Warriors,2,8,35,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,9,1,0,20130420,DEN,GSW
7,Shot Chart Detail,0041200161,222,202691,Klay Thompson,1610612744,Golden State Warriors,2,5,21,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-57,123,1,1,20130420,DEN,GSW
8,Shot Chart Detail,0041200161,236,202691,Klay Thompson,1610612744,Golden State Warriors,2,4,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,124,71,1,1,20130420,DEN,GSW
9,Shot Chart Detail,0041200161,239,202691,Klay Thompson,1610612744,Golden State Warriors,2,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,155,72,1,1,20130420,DEN,GSW
10,Shot Chart Detail,0041200161,258,202691,Klay Thompson,1610612744,Golden State Warriors,2,2,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,52,1,1,20130420,DEN,GSW
11,Shot Chart Detail,0041200161,313,202691,Klay Thompson,1610612744,Golden State Warriors,3,10,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-16,1,0,20130420,DEN,GSW
12,Shot Chart Detail,0041200161,337,202691,Klay Thompson,1610612744,Golden State Warriors,3,8,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,31,1,0,20130420,DEN,GSW
13,Shot Chart Detail,0041200161,379,202691,Klay Thompson,1610612744,Golden State Warriors,3,5,29,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,44,1,1,20130420,DEN,GSW
14,Shot Chart Detail,0041200161,383,202691,Klay Thompson,1610612744,Golden State Warriors,3,4,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-11,164,1,0,20130420,DEN,GSW
15,Shot Chart Detail,0041200161,414,202691,Klay Thompson,1610612744,Golden State Warriors,3,0,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-187,116,1,1,20130420,DEN,GSW
16,Shot Chart Detail,0041200161,494,202691,Klay Thompson,1610612744,Golden State Warriors,4,5,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-10,1,0,20130420,DEN,GSW
